Player,Pos,Squad,League,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,Save%_PK,FK,CK,OG,PSxG,PSxG/SoT,PSxG-GA,Pass_Cmp_+40y,Pass_Att_+40y,Pass_Cmp_+40y%,GK_Att,GK_Att.1,Pass_Launch%,Pass_AvgLen,Opp,Stp%,#OPA,#OPA/90,AvgDist
Laura Giuliani,GK,Milan,Serie A - ITA,1993,22,22,1980,22.0,34,1.55,101,65,68.3,8,7,7,5,22.7,4,2,50.0,0.0,5.0,1.0,30.1,0.28,-2.9,102.0,189.0,54.0,728.0,126.0,20.3,28.1,292.0,7.5,32.0,1.45,14.7
Kerttu Karresmaa,GK,Lazio,Serie A - ITA,2004,1,1,90,1.0,4,4.0,6,2,33.3,0,1,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.5,0.33,-2.5,1.0,2.0,50.0,20.0,3.0,10.0,23.4,3.0,0.0,2.0,2.0,17.8
Isabella Kresche,GK,Roma,Serie A - ITA,1998,8,8,701,7.8,11,1.41,23,11,52.2,4,1,3,2,25.0,0,0,0.0,0.0,0.0,0.0,7.0,0.3,-4.0,15.0,30.0,50.0,187.0,43.0,9.1,22.4,74.0,2.7,8.0,1.03,15.0
Kathrine Larsen,GK,Sampdoria,Serie A - ITA,1993,4,4,360,4.0,7,1.75,30,23,76.7,0,2,2,1,25.0,0,0,0.0,0.0,1.0,0.0,8.9,0.31,1.9,15.0,57.0,26.3,106.0,41.0,26.4,32.5,81.0,3.7,2.0,0.5,9.3
Lia Lonni,GK,Sassuolo,Serie A - ITA,2000,3,3,270,3.0,9,3.0,19,10,52.6,0,0,3,0,0.0,0,0,0.0,0.0,1.0,0.0,8.7,0.46,-0.3,7.0,23.0,30.4,63.0,23.0,28.6,31.9,47.0,0.0,2.0,0.67,17.6
Pauline Peyraud-Magnin,GK,Juventus,Serie A - ITA,1992,17,17,1530,17.0,18,1.06,77,59,79.2,12,3,2,7,41.2,2,2,0.0,2.0,2.0,0.0,18.8,0.23,0.8,70.0,138.0,50.7,320.0,112.0,29.7,32.3,208.0,1.9,7.0,0.41,13.8
Lysianne Proulx,GK,Juventus,Serie A - ITA,1999,3,3,270,3.0,2,0.67,7,5,71.4,2,1,0,2,66.7,0,0,0.0,0.0,0.0,0.0,1.6,0.24,-0.4,4.0,5.0,80.0,44.0,17.0,2.3,22.3,25.0,4.0,1.0,0.33,8.2
Cecilía Rán Rúnarsdóttir,GK,Inter,Serie A - ITA,2003,19,19,1710,19.0,19,1.0,89,71,80.9,9,6,4,8,42.1,4,2,50.0,0.0,2.0,3.0,24.6,0.26,8.6,72.0,163.0,44.2,663.0,47.0,22.0,27.9,239.0,12.1,8.0,0.42,10.6
Giulia Ruma,GK,Como Women,Serie A - ITA,2006,1,0,45,0.5,1,2.0,2,1,50.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,1.1,0.56,0.1,2.0,10.0,20.0,8.0,6.0,50.0,33.9,5.0,0.0,1.0,2.0,17.0
Valentina Soggiu,GK,Como Women,Serie A - ITA,2003,1,0,36,0.4,3,7.5,6,2,50.0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,2.0,0.33,-1.0,2.0,3.0,66.7,9.0,1.0,33.3,33.1,1.0,0.0,1.0,2.57,16.0
Amanda Tampieri,GK,Sampdoria,Serie A - ITA,1997,13,13,1170,13.0,30,2.31,96,67,69.8,1,3,9,3,23.1,1,1,0.0,0.0,2.0,1.0,22.0,0.22,-7.0,46.0,164.0,28.0,328.0,108.0,37.2,33.8,232.0,4.3,3.0,0.23,8.9
