Player,Nation,Squad,Posición Principal,Posición Secundaria,League,Born,MP,Min,90s,Gls,Ast,G+A,G-PK,xAG,Gls/90,Ast/90,G+A/90,G-PK/90,xG/90,xAG/90,xG+xAG,npxG/90,Sh,SoT,SoT%,SoT/90,G/Sh,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,SCA,SCA90,GCA,GCA90,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_short,Att_short,Cmp%_short,Cmp_med,Att_med,Cmp%_med,Cmp_long,Att_long,Cmp%_long,xA,A-xAG,KP,pass_1/3,PPA,CrsPA,PrgP,FK_pass,BallThrough,Switch,Crs,CK_pass,Off,Blocks,Touches,touch_Def Pen,touch_Def 3rd,touch_Mid 3rd,touch_Att 3rd,touch_Att Pen,TO_Succ%,Carries,carries_TotDist,carries_PrgDist,PrgC,carries_1/3,CPA,Rec,PrgR,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off/90,Tkl,TklW,tkl_Def 3rd,tkl_Mid 3rd,tkl_Att 3rd,Tkl/90,Tkl%,Blocks.1,Int,Tkl+Int,Clr,CrdY,CrdR,2CrdY,Fls,Fld,Off.1,PKwon,OG,Recov,Won,Lost,Won%
Marlene Müller,GER,RB Leipzig,DF,MF,Frauen-Bundesliga - GER,2000,17,1408,15.6,1,1,2,1,1.2,0.06,0.06,0.13,0.06,0.07,0.08,0.14,0.07,14,6,42.9,0.38,0.07,16.3,0.0,0,0,1.1,1.1,0.08,-0.1,-0.1,30.0,1.92,3.0,0.19,424.0,637.0,66.6,6991.0,3413.0,212.0,284.0,74.6,175.0,252.0,69.4,34.0,63.0,54.0,0.5,-0.2,11.0,30.0,8.0,1.0,49.0,10.0,0.0,0.0,23,0.0,1.0,31.0,859.0,36.0,298.0,340.0,241.0,34.0,47.7,374.0,2267.0,1074.0,28.0,13.0,12.0,406.0,82.0,83.0,92.0,16,87.0,11,1,21.0,0.0,1.53,25.0,25.0,0.0,0.0,1.21,27.0,22,12.0,12.0,3.0,10.0,37.0,23.0,19,46.0,32.0,3,0,0,9,13,2,1.0,0,87.0,7.0,8.0,46.7
Gwendolyn Mummert,GER,FC Carl Zeiss Jena,DF,None,Frauen-Bundesliga - GER,1999,11,852,9.5,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.53,0.0,0.0,283.0,379.0,74.7,5413.0,2117.0,92.0,108.0,85.2,160.0,196.0,81.6,30.0,61.0,49.2,0.0,-0.1,2.0,4.0,0.0,0.0,6.0,11.0,0.0,0.0,0,0.0,0.0,6.0,468.0,88.0,329.0,121.0,23.0,1.0,66.7,215.0,1178.0,603.0,3.0,1.0,0.0,236.0,5.0,77.0,55.7,9,88.0,8,2,30.0,4.0,0.27,4.0,24.0,-20.0,-2.11,-0.23,20.0,18,16.0,2.0,2.0,8.0,61.5,9.0,6,26.0,37.0,0,0,0,5,4,0,0.0,0,48.0,5.0,7.0,41.7
Sophie Nachtigall,GER,Eintracht Frankfurt,FW,MF,Frauen-Bundesliga - GER,2004,4,38,0.4,0,1,1,0,0.6,0.0,2.37,2.37,0.0,0.24,1.43,1.67,0.24,1,0,0.0,0.0,0.0,22.0,0.0,0,0,0.1,0.1,0.1,-0.1,-0.1,3.0,7.11,1.0,2.37,14.0,20.0,70.0,231.0,107.0,7.0,9.0,77.8,5.0,8.0,62.5,2.0,2.0,100.0,0.2,0.4,1.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,2,0.0,1.0,0.0,25.0,0.0,0.0,11.0,14.0,1.0,0.0,17.0,62.0,32.0,1.0,1.0,1.0,20.0,7.0,10.0,2.5,0,0.0,0,4,10.0,7.0,3.0,5.0,0.0,5.0,11.84,4.85,1.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1,0,0,3,0,0,0.0,0,6.0,0.0,0.0,0.0
Shahar Nakav,ISR,Turbine Potsdam,DF,None,Frauen-Bundesliga - GER,1997,2,180,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,84.0,60.7,772.0,548.0,30.0,42.0,71.4,18.0,29.0,62.1,2.0,11.0,18.2,0.0,0.0,0.0,4.0,0.0,0.0,5.0,3.0,0.0,1.0,0,0.0,1.0,1.0,98.0,3.0,48.0,43.0,9.0,1.0,0.0,25.0,118.0,34.0,1.0,0.0,0.0,36.0,1.0,90.0,11.8,2,90.0,2,0,0.0,0.0,0.0,0.0,4.0,-4.0,-2.0,0.1,5.0,5,3.0,2.0,0.0,4.0,100.0,3.0,0,5.0,5.0,0,0,0,4,0,0,0.0,0,3.0,2.0,0.0,100.0
Diána Németh,HUN,VfL Wolfsburg,DF,MF,Frauen-Bundesliga - GER,2004,2,112,1.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,1,0,0.0,0.0,0.0,24.5,0.0,0,0,0.0,0.0,0.01,0.0,0.0,1.0,0.8,0.0,0.0,56.0,72.0,77.8,930.0,174.0,25.0,33.0,75.8,26.0,29.0,89.7,3.0,7.0,42.9,0.1,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,5,0.0,0.0,1.0,87.0,0.0,17.0,38.0,33.0,1.0,33.3,44.0,239.0,55.0,0.0,0.0,0.0,45.0,11.0,56.0,7.3,2,56.0,0,0,0.0,3.0,2.0,2.0,0.0,2.0,1.61,-0.07,1.0,1,1.0,0.0,0.0,1.0,100.0,2.0,3,4.0,2.0,0,0,0,4,0,0,0.0,0,5.0,2.0,0.0,100.0
Hanna Németh,HUN,SV Werder Bremen,DF,None,Frauen-Bundesliga - GER,1998,14,1044,11.6,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,1,1,100.0,0.09,0.0,7.0,0.0,0,0,0.1,0.1,0.08,-0.1,-0.1,7.0,0.6,0.0,0.0,393.0,484.0,81.2,7919.0,3254.0,112.0,135.0,83.0,230.0,260.0,88.5,44.0,72.0,61.1,0.1,-0.1,3.0,28.0,2.0,0.0,33.0,15.0,0.0,1.0,0,0.0,3.0,4.0,593.0,88.0,375.0,204.0,18.0,2.0,42.9,280.0,1104.0,660.0,4.0,1.0,0.0,318.0,5.0,75.0,68.2,12,85.0,10,2,15.0,2.0,1.43,14.0,19.0,-5.0,-0.43,-0.92,16.0,14,10.0,5.0,1.0,6.0,60.0,10.0,26,42.0,37.0,2,0,0,3,2,0,0.0,0,38.0,7.0,7.0,50.0
Sofija Ņesterova,LVA,SV Werder Bremen,GK,None,Frauen-Bundesliga - GER,2001,2,91,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,60.0,209.0,123.0,1.0,1.0,100.0,7.0,7.0,100.0,1.0,6.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,17.0,13.0,17.0,0.0,0.0,0.0,100.0,9.0,75.0,42.0,0.0,0.0,0.0,8.0,0.0,46.0,5.9,1,90.0,1,1,1.0,2.0,1.5,0.0,6.0,-6.0,-5.93,-2.16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0.0,0.0,0.0,0.0
Nicole Ojukwu,AUT,SC Freiburg,MF,None,Frauen-Bundesliga - GER,2005,12,485,5.4,0,1,1,0,0.4,0.0,0.19,0.19,0.0,0.03,0.07,0.1,0.03,6,2,33.3,0.37,0.0,28.5,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,7.0,1.3,1.0,0.19,156.0,203.0,76.8,2722.0,761.0,60.0,73.0,82.2,81.0,92.0,88.0,9.0,25.0,36.0,0.7,0.6,3.0,15.0,1.0,0.0,16.0,2.0,0.0,1.0,2,2.0,1.0,3.0,235.0,4.0,67.0,127.0,43.0,1.0,66.7,108.0,336.0,96.0,0.0,1.0,0.0,152.0,7.0,40.0,31.7,5,76.0,2,7,15.0,2.0,2.08,10.0,7.0,3.0,0.56,-1.02,6.0,2,0.0,4.0,2.0,1.0,25.0,2.0,5,11.0,2.0,0,0,0,7,1,0,0.0,0,29.0,1.0,3.0,25.0
Josefine Osigus,GER,1. FC Köln,GK,None,Frauen-Bundesliga - GER,2004,6,473,5.3,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,174.0,78.2,2872.0,1689.0,37.0,37.0,100.0,78.0,82.0,95.1,21.0,53.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0,0.0,1.0,1.0,184.0,160.0,184.0,0.0,0.0,0.0,0.0,88.0,390.0,173.0,0.0,0.0,0.0,76.0,0.0,79.0,30.9,5,90.0,5,1,23.0,10.0,0.0,2.0,18.0,-16.0,-3.04,-0.29,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,3.0,0,0,0,0,1,0,0.0,0,10.0,1.0,1.0,50.0
Lena Ostermeier,GER,SGS Essen,DF,None,Frauen-Bundesliga - GER,1996,10,862,9.6,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,3,0,0.0,0.0,0.0,30.0,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,8.0,0.84,0.0,0.0,296.0,437.0,67.7,5556.0,2556.0,102.0,135.0,75.6,157.0,207.0,75.8,31.0,71.0,43.7,0.4,0.0,1.0,15.0,4.0,1.0,38.0,14.0,2.0,1.0,8,0.0,0.0,18.0,554.0,30.0,233.0,275.0,53.0,1.0,57.1,231.0,1340.0,772.0,13.0,7.0,0.0,229.0,5.0,86.0,56.3,10,86.0,7,0,0.0,0.0,0.9,9.0,11.0,-2.0,-0.21,0.13,36.0,32,23.0,9.0,4.0,20.0,62.5,18.0,28,64.0,21.0,1,0,0,2,14,0,0.0,0,66.0,4.0,2.0,66.7
Selina Ostermeier,GER,Bayer 04 Leverkusen,DF,None,Frauen-Bundesliga - GER,1999,16,1416,15.7,1,0,1,1,0.0,0.06,0.0,0.06,0.06,0.06,0.0,0.06,0.06,9,5,55.6,0.32,0.11,10.3,0.0,0,0,0.9,0.9,0.1,0.1,0.1,15.0,0.95,1.0,0.06,782.0,969.0,80.7,17340.0,6764.0,157.0,195.0,80.5,498.0,541.0,92.1,123.0,212.0,58.0,0.3,0.0,1.0,52.0,1.0,0.0,75.0,35.0,0.0,6.0,2,0.0,3.0,9.0,1118.0,131.0,633.0,469.0,30.0,12.0,100.0,625.0,3656.0,2343.0,11.0,3.0,1.0,749.0,2.0,89.0,92.5,16,89.0,15,0,0.0,0.0,2.06,30.0,14.0,16.0,1.02,-0.05,21.0,16,14.0,7.0,0.0,9.0,40.9,11.0,25,46.0,66.0,4,0,0,9,19,0,0.0,0,78.0,21.0,15.0,58.3
Emőke Pápai,HUN,SV Werder Bremen,MF,FW,Frauen-Bundesliga - GER,2003,17,443,4.9,1,0,1,1,0.5,0.2,0.0,0.2,0.2,0.16,0.1,0.26,0.16,10,1,10.0,0.2,0.1,22.1,0.0,0,0,0.8,0.8,0.08,0.2,0.2,18.0,3.66,1.0,0.2,100.0,146.0,68.5,1729.0,749.0,46.0,61.0,75.4,42.0,58.0,72.4,8.0,14.0,57.1,0.7,-0.5,8.0,7.0,5.0,1.0,16.0,0.0,0.0,0.0,5,5.0,1.0,5.0,198.0,7.0,32.0,94.0,78.0,13.0,78.6,89.0,445.0,236.0,8.0,5.0,3.0,108.0,18.0,26.0,29.0,1,45.0,0,16,25.0,0.0,1.35,9.0,10.0,-1.0,-0.2,0.34,8.0,4,3.0,3.0,2.0,2.0,33.3,7.0,3,11.0,6.0,0,0,0,5,4,1,0.0,0,22.0,3.0,2.0,60.0
Luca Papp,HUN,VfL Wolfsburg,FW,DF,Frauen-Bundesliga - GER,2002,2,61,0.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,1,0,0.0,0.0,0.0,21.4,0.0,0,0,0.0,0.0,0.04,0.0,0.0,2.0,2.95,0.0,0.0,50.0,63.0,79.4,1021.0,348.0,16.0,19.0,84.2,27.0,35.0,77.1,6.0,8.0,75.0,0.1,0.0,0.0,8.0,1.0,1.0,7.0,0.0,0.0,2.0,2,0.0,0.0,0.0,69.0,0.0,10.0,39.0,20.0,0.0,0.0,41.0,93.0,39.0,2.0,1.0,0.0,51.0,4.0,31.0,4.0,0,0.0,0,2,31.0,3.0,3.0,1.0,0.0,1.0,1.48,-0.03,2.0,2,0.0,1.0,1.0,1.0,100.0,2.0,1,3.0,0.0,0,0,0,1,0,0,0.0,0,4.0,1.0,1.0,50.0
Tanja Pawollek,POL,Eintracht Frankfurt,MF,None,Frauen-Bundesliga - GER,1999,10,602,6.7,1,0,1,1,0.6,0.15,0.0,0.15,0.15,0.18,0.08,0.27,0.18,15,6,40.0,0.9,0.07,22.1,0.0,0,0,1.2,1.2,0.08,-0.2,-0.2,17.0,2.54,1.0,0.15,345.0,398.0,86.7,6067.0,1505.0,156.0,179.0,87.2,153.0,164.0,93.3,34.0,45.0,75.6,0.3,-0.6,4.0,29.0,5.0,0.0,33.0,3.0,0.0,1.0,1,0.0,3.0,2.0,452.0,12.0,78.0,299.0,78.0,8.0,28.6,225.0,854.0,341.0,4.0,3.0,1.0,300.0,11.0,60.0,39.3,6,90.0,6,4,16.0,1.0,2.2,23.0,11.0,12.0,1.79,0.77,4.0,4,0.0,4.0,0.0,1.0,33.3,4.0,7,11.0,3.0,2,0,0,4,4,1,0.0,0,44.0,8.0,4.0,66.7
Livia Peng,SUI,SV Werder Bremen,GK,None,Frauen-Bundesliga - GER,2002,16,1439,16.0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.13,0.0,0.0,531.0,723.0,73.4,13990.0,9748.0,77.0,78.0,98.7,308.0,317.0,97.2,144.0,324.0,44.4,0.0,-0.1,1.0,7.0,1.0,0.0,0.0,28.0,0.0,0.0,0,0.0,1.0,0.0,752.0,530.0,735.0,17.0,0.0,0.0,100.0,451.0,2049.0,1316.0,0.0,0.0,0.0,401.0,0.0,90.0,94.1,16,90.0,15,0,0.0,0.0,1.44,20.0,24.0,-4.0,-0.25,2.16,2.0,1,2.0,0.0,0.0,2.0,40.0,0.0,0,2.0,6.0,0,0,0,0,4,0,0.0,0,32.0,3.0,2.0,60.0
Maria Penner,GER,SV Werder Bremen,DF,FW,Frauen-Bundesliga - GER,2007,2,32,0.4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,44.4,79.0,27.0,1.0,1.0,100.0,3.0,8.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.0,0.0,1.0,10.0,2.0,0.0,0.0,3.0,22.0,2.0,0.0,1.0,0.0,5.0,1.0,16.0,2.1,0,0.0,0,2,16.0,2.0,0.0,0.0,1.0,-1.0,-2.81,-1.46,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,1.0,0.0
Glódís Perla Viggósdóttir,ISL,Bayern München,DF,None,Frauen-Bundesliga - GER,1995,15,1272,14.1,1,2,3,1,1.3,0.07,0.14,0.21,0.07,0.11,0.09,0.2,0.11,20,4,20.0,0.28,0.05,11.7,0.0,0,0,1.5,1.5,0.08,-0.5,-0.5,21.0,1.49,3.0,0.21,1277.0,1424.0,89.7,24900.0,9134.0,420.0,446.0,94.2,748.0,792.0,94.4,102.0,166.0,61.4,0.6,0.7,8.0,134.0,6.0,0.0,110.0,13.0,2.0,8.0,1,0.0,4.0,7.0,1542.0,63.0,528.0,947.0,73.0,28.0,66.7,994.0,4424.0,2733.0,10.0,3.0,0.0,1249.0,4.0,85.0,83.1,15,85.0,13,0,0.0,0.0,2.53,36.0,11.0,25.0,1.77,1.09,17.0,9,9.0,5.0,3.0,8.0,88.9,15.0,15,32.0,41.0,3,1,1,14,7,0,0.0,0,72.0,30.0,11.0,73.2
Anja Pfluger,GER,SGS Essen,MF,None,Frauen-Bundesliga - GER,1993,10,259,2.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,33.9,0.0,0,0,0.0,0.0,0.01,0.0,0.0,3.0,1.04,0.0,0.0,57.0,89.0,64.0,996.0,229.0,24.0,30.0,80.0,26.0,38.0,68.4,5.0,14.0,35.7,0.0,0.0,0.0,6.0,0.0,0.0,7.0,5.0,0.0,0.0,4,1.0,1.0,2.0,119.0,10.0,42.0,62.0,16.0,1.0,0.0,36.0,189.0,62.0,1.0,0.0,0.0,51.0,3.0,26.0,16.9,3,55.0,0,7,13.0,7.0,0.8,1.0,6.0,-5.0,-1.74,-0.54,6.0,5,2.0,4.0,0.0,3.0,75.0,3.0,5,11.0,11.0,0,0,0,3,1,0,0.0,0,11.0,1.0,1.0,50.0
Katharina Piljić,GER,Bayer 04 Leverkusen,MF,None,Frauen-Bundesliga - GER,2003,13,1166,13.0,2,3,5,2,0.9,0.15,0.23,0.39,0.15,0.02,0.07,0.09,0.02,6,4,66.7,0.31,0.33,27.0,0.0,0,0,0.2,0.2,0.03,1.8,1.8,20.0,1.54,4.0,0.31,417.0,535.0,77.9,7992.0,2293.0,125.0,156.0,80.1,245.0,274.0,89.4,40.0,75.0,53.3,0.3,2.1,9.0,42.0,5.0,0.0,56.0,6.0,1.0,1.0,4,0.0,2.0,12.0,683.0,26.0,205.0,395.0,98.0,4.0,50.0,314.0,1774.0,948.0,14.0,9.0,0.0,368.0,10.0,90.0,76.2,13,90.0,12,0,0.0,0.0,2.23,23.0,11.0,12.0,0.93,-1.04,39.0,24,13.0,22.0,4.0,19.0,65.5,21.0,19,58.0,12.0,4,0,0,12,10,1,0.0,0,109.0,3.0,8.0,27.3
Paulina Platner,GER,SGS Essen,MF,None,Frauen-Bundesliga - GER,2005,13,716,8.0,1,0,1,1,0.4,0.13,0.0,0.13,0.13,0.12,0.06,0.17,0.12,7,3,42.9,0.38,0.14,19.7,0.0,0,0,0.9,0.9,0.13,0.1,0.1,18.0,2.26,1.0,0.13,194.0,301.0,64.5,3937.0,1481.0,66.0,102.0,64.7,89.0,121.0,73.6,34.0,68.0,50.0,0.8,-0.4,9.0,24.0,4.0,1.0,30.0,14.0,0.0,2.0,29,17.0,0.0,3.0,389.0,23.0,126.0,180.0,86.0,7.0,70.0,173.0,722.0,325.0,3.0,2.0,1.0,188.0,10.0,55.0,46.8,10,68.0,1,3,13.0,1.0,1.08,9.0,9.0,0.0,0.0,0.07,17.0,8,6.0,8.0,3.0,7.0,58.3,16.0,6,23.0,18.0,1,0,0,5,4,0,0.0,0,39.0,8.0,5.0,61.5
Julia Pollak,GER,RB Leipzig,DF,MF,Frauen-Bundesliga - GER,2002,5,48,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,25.0,64.0,286.0,106.0,5.0,8.0,62.5,9.0,12.0,75.0,2.0,5.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,37.0,1.0,13.0,16.0,8.0,0.0,0.0,8.0,21.0,12.0,0.0,1.0,0.0,14.0,4.0,10.0,3.1,0,0.0,0,5,10.0,5.0,2.0,0.0,1.0,-1.0,-1.87,-0.35,1.0,1,0.0,1.0,0.0,1.0,50.0,4.0,2,3.0,3.0,0,0,0,1,0,0,0.0,0,1.0,1.0,0.0,100.0
Alexandra Popp,GER,VfL Wolfsburg,FW,None,Frauen-Bundesliga - GER,1991,17,1379,15.3,6,3,9,6,4.2,0.39,0.2,0.59,0.39,0.48,0.27,0.75,0.48,60,20,33.3,1.31,0.1,14.1,3.0,0,0,7.4,7.4,0.12,-1.4,-1.4,53.0,3.46,8.0,0.52,374.0,560.0,66.8,6585.0,1755.0,180.0,243.0,74.1,144.0,201.0,71.6,41.0,74.0,55.4,2.6,-1.2,24.0,33.0,19.0,6.0,57.0,0.0,3.0,3.0,16,0.0,6.0,13.0,722.0,28.0,104.0,321.0,302.0,80.0,45.5,327.0,1288.0,444.0,10.0,13.0,3.0,482.0,95.0,81.0,90.1,16,85.0,12,1,19.0,0.0,2.24,38.0,11.0,27.0,1.76,0.23,20.0,13,8.0,9.0,3.0,5.0,41.7,26.0,11,31.0,18.0,2,0,0,21,19,4,1.0,0,65.0,54.0,16.0,77.1
Kassandra Potsi,GER,SGS Essen,FW,MF,Frauen-Bundesliga - GER,2008,12,388,4.3,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.02,0.06,0.07,0.02,1,1,100.0,0.23,0.0,14.0,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,6.0,1.39,1.0,0.23,44.0,59.0,74.6,681.0,216.0,21.0,28.0,75.0,17.0,21.0,81.0,3.0,6.0,50.0,0.1,-0.2,4.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,1,0.0,0.0,0.0,115.0,2.0,37.0,44.0,38.0,6.0,60.0,60.0,362.0,62.0,3.0,6.0,1.0,50.0,10.0,32.0,25.4,3,75.0,0,9,18.0,0.0,0.67,2.0,10.0,-8.0,-1.86,-1.23,13.0,10,3.0,7.0,3.0,4.0,57.1,6.0,4,17.0,2.0,2,0,0,15,10,1,1.0,0,20.0,3.0,4.0,42.9
Lara Prašnikar,SVN,Eintracht Frankfurt,FW,MF,Frauen-Bundesliga - GER,1998,15,826,9.2,5,6,11,4,3.2,0.54,0.65,1.2,0.44,0.57,0.35,0.91,0.49,28,13,46.4,1.42,0.14,12.7,2.0,1,1,5.2,4.5,0.16,-0.2,-0.5,42.0,4.58,12.0,1.31,197.0,321.0,61.4,3113.0,1111.0,98.0,142.0,69.0,69.0,100.0,69.0,17.0,32.0,53.1,3.0,2.8,21.0,20.0,18.0,4.0,44.0,5.0,2.0,0.0,27,12.0,4.0,26.0,423.0,0.0,13.0,153.0,259.0,59.0,29.2,239.0,1052.0,373.0,17.0,12.0,12.0,306.0,94.0,55.0,54.0,9,77.0,2,6,23.0,0.0,2.13,34.0,7.0,27.0,2.94,1.12,7.0,6,1.0,4.0,2.0,2.0,33.3,11.0,3,10.0,1.0,0,0,0,8,11,6,0.0,0,27.0,2.0,8.0,20.0
Laura Pucks,GER,SGS Essen,DF,None,Frauen-Bundesliga - GER,2004,14,1227,13.6,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,8,3,37.5,0.22,0.0,9.7,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,7.0,0.51,1.0,0.07,487.0,606.0,80.4,10624.0,3590.0,118.0,143.0,82.5,288.0,332.0,86.7,79.0,114.0,69.3,0.1,-0.2,2.0,26.0,0.0,0.0,28.0,29.0,0.0,3.0,1,0.0,0.0,10.0,731.0,89.0,448.0,268.0,25.0,11.0,100.0,415.0,2443.0,1441.0,4.0,3.0,0.0,434.0,2.0,88.0,80.2,14,88.0,11,0,0.0,1.0,0.86,13.0,16.0,-3.0,-0.22,-1.11,22.0,17,14.0,7.0,1.0,12.0,63.2,24.0,16,38.0,38.0,0,0,0,3,3,0,0.0,0,65.0,11.0,9.0,55.0
Lilli Purtscheller,AUT,SGS Essen,FW,None,Frauen-Bundesliga - GER,2003,15,1248,13.9,1,1,2,1,2.1,0.07,0.07,0.14,0.07,0.07,0.15,0.22,0.07,17,5,29.4,0.36,0.06,16.8,0.0,0,0,1.0,1.0,0.06,0.0,0.0,46.0,3.32,3.0,0.22,224.0,373.0,60.1,3183.0,1057.0,121.0,177.0,68.4,84.0,124.0,67.7,8.0,22.0,36.4,2.3,-1.1,15.0,30.0,16.0,5.0,45.0,0.0,2.0,0.0,40,0.0,2.0,35.0,596.0,10.0,83.0,241.0,287.0,46.0,51.3,388.0,2500.0,1008.0,50.0,16.0,15.0,398.0,126.0,83.0,81.6,14,86.0,8,1,45.0,0.0,0.87,13.0,16.0,-3.0,-0.22,0.6,47.0,38,15.0,23.0,9.0,9.0,39.1,28.0,6,53.0,7.0,4,0,0,21,60,5,0.0,0,77.0,7.0,8.0,46.7
Nuria Rábano,ESP,VfL Wolfsburg,DF,MF,Frauen-Bundesliga - GER,1999,7,418,4.6,0,0,0,0,1.4,0.0,0.0,0.0,0.0,0.07,0.3,0.37,0.07,6,2,33.3,0.43,0.0,19.3,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,20.0,4.31,0.0,0.0,242.0,317.0,76.3,4284.0,1528.0,101.0,128.0,78.9,112.0,129.0,86.8,23.0,45.0,51.1,1.2,-1.4,11.0,18.0,6.0,2.0,20.0,6.0,0.0,1.0,30,13.0,0.0,10.0,358.0,6.0,75.0,165.0,119.0,8.0,22.2,164.0,663.0,356.0,3.0,5.0,1.0,203.0,22.0,60.0,27.3,4,84.0,3,3,28.0,4.0,2.29,15.0,2.0,13.0,2.8,1.49,9.0,7,2.0,5.0,2.0,3.0,50.0,7.0,3,12.0,6.0,0,0,0,3,0,0,0.0,0,31.0,0.0,2.0,0.0
Nina Räcke,GER,RB Leipzig,DF,None,Frauen-Bundesliga - GER,2001,10,247,2.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,1,0,0.0,0.0,0.0,3.8,0.0,0,0,0.2,0.2,0.17,-0.2,-0.2,1.0,0.37,0.0,0.0,129.0,149.0,86.6,2306.0,1243.0,52.0,62.0,83.9,67.0,72.0,93.1,9.0,13.0,69.2,0.0,0.0,0.0,5.0,0.0,0.0,7.0,3.0,0.0,0.0,0,0.0,0.0,2.0,173.0,22.0,114.0,58.0,2.0,1.0,0.0,91.0,330.0,184.0,0.0,0.0,0.0,116.0,0.0,25.0,16.1,1,81.0,0,9,18.0,7.0,2.2,6.0,7.0,-1.0,-0.36,-0.92,2.0,2,1.0,1.0,0.0,1.0,33.3,2.0,3,5.0,15.0,1,0,0,2,2,0,0.0,0,11.0,4.0,4.0,50.0
